Time,Track,Instrument,Beat,Octave,Note,Duration,"Force (%)"
50460,2,BASSLINE,116,6,"Sol #",Half,79
50460,3,"INTRO LEAD",116,5,"Fa #",Quarter,79
50460,4,"BACKGROUND SYNTH",116,5,"Fa #",Quarter,79
50460,5,,116,7,"Fa #",Quarter,79
50460,7,,116,5,Do,Eighth,79
50480,7,,116,5,Do,Eighth,79
50490,3,"INTRO LEAD",69,5,Sol,Whole,100
50490,3,"INTRO LEAD",116,4,"La #",Quarter,79
50490,4,"BACKGROUND SYNTH",116,4,"La #",Quarter,79
50490,5,,116,7,"Fa #",Quarter,79
50492,10,,111,5,"Re #",Whole,56
50496,2,,111,4,Mi,Whole,98
50496,3,"INTRO LEAD",84,5,Sol,Whole,71
50496,7,,84,5,Sol,Whole,71
50500,7,,116,5,Do,Eighth,79
50517,8,,118,6,"Fa #",Half,65
50520,2,BASSLINE,112,6,"Do #",Whole,100
50520,2,,118,4,Re,Sixteenth,78
50520,6,,112,4,Do,Quarter,100
50520,2,BASSLINE,116,5,"Do #",Half,79
50520,2,BASSLINE,116,5,"Re #",Half,79
50520,2,BASSLINE,116,5,"Sol #",Half,79
50520,2,BASSLINE,116,6,"Do #",Half,79
50520,2,BASSLINE,116,6,"Re #",Half,79
50520,2,BASSLINE,116,6,"Sol #",Whole,79
50520,10,,112,5,Do,Whole,100
50520,10,,112,5,Do,Whole,100
50520,10,,112,4,Si,Whole,100
50520,10,,112,6,La,Sixteenth,100
50520,6,,118,7,"Fa #",Half,80
50520,13,,112,4,"Fa #",Sixteenth,100
50520,3,"INTRO LEAD",116,5,"Do #",Quarter,79
50520,4,"BACKGROUND SYNTH",116,5,"Do #",Quarter,79
50520,5,,116,7,"Fa #",Quarter,79
50520,7,,116,5,Do,Eighth,79
50521,2,,118,5,Re,Whole,80
50523,7,,118,6,"Fa #",Half,61
50540,7,,116,5,Do,Eighth,79
50544,2,BASSLINE,84,6,La,Half,71
50550,3,"INTRO LEAD",69,4,Mi,Whole,100
50550,3,"INTRO LEAD",116,5,"Do #",Quarter,79
50550,4,"BACKGROUND SYNTH",116,5,"Do #",Quarter,79
50550,5,,116,7,"Fa #",Quarter,79
50560,7,,116,5,Do,Eighth,79
50577,6,,118,7,"Fa #",Half,77
50578,3,,118,3,"La #",Whole,79
50579,8,,118,6,"Fa #",Half,62
50580,5,,118,4,"La #",Sixteenth,80
50580,3,"INTRO LEAD",116,5,"Do #",Quarter,79
50580,4,"BACKGROUND SYNTH",116,5,"Do #",Quarter,79
50580,5,,116,7,"Fa #",Half,79
50580,7,,116,5,Do,Eighth,79
50583,5,,118,5,"Fa #",Sixteenth,77
50583,5,,118,5,"La #",Whole,80
50583,7,,118,6,"Fa #",Half,61
50592,2,BASSLINE,84,6,Si,Whole,71
50592,3,"INTRO LEAD",84,6,Re,Whole,71
50592,7,,84,6,Re,Whole,71
50600,7,,116,5,Do,Eighth,79
50610,3,"INTRO LEAD",69,5,Sol,Whole,100
50610,3,"INTRO LEAD",116,5,"Do #",Quarter,79
50610,4,"BACKGROUND SYNTH",116,5,"Do #",Quarter,79
50620,7,,116,5,Do,Eighth,79
50637,7,,118,6,"Fa #",Half,63
50638,2,,118,5,"Re #",Half,80
50638,6,,118,7,"Fa #",Half,80
50640,6,,112,4,"Do #",Whole,100
50640,11,,112,4,Do,Sixteenth,100
50640,13,,112,4,"Fa #",Sixteenth,100
50640,3,"INTRO LEAD",116,4,"Fa #",Quarter,79
50640,8,,118,6,"Fa #",Half,63
50640,4,"BACKGROUND SYNTH",116,4,"Fa #",Quarter,79
50640,5,,116,7,"Sol #",Quarter,79
50640,7,,116,4,"Sol #",Eighth,79
50640,8,,116,6,"Sol #",Quarter,79
50640,9,,116,6,"Sol #",Quarter,79
50660,7,,116,4,"Sol #",Eighth,79
50670,3,"INTRO LEAD",69,5,"La #",Whole,100
50670,3,"INTRO LEAD",116,4,"Sol #",Quarter,79
50670,4,"BACKGROUND SYNTH",116,4,"Sol #",Quarter,79
50670,5,,116,7,"Sol #",Quarter,79
50670,8,,116,6,"Sol #",Quarter,79
50670,9,,116,6,"Sol #",Quarter,79
50680,7,,116,4,"Sol #",Eighth,79
50684,10,,111,3,Si,Whole,100
50684,10,,111,5,"Re #",Whole,69
50688,2,,111,3,La,Whole,100
50688,2,BASSLINE,84,7,Do,Whole,71
50688,4,,111,6,Mi,Whole,63
50688,4,,111,6,Re,Whole,80
50688,4,,111,5,Si,Whole,72
50688,4,,111,5,Sol,Whole,76
50688,4,,111,5,Mi,Whole,65
50688,3,"INTRO LEAD",84,5,Si,Whole,71
50688,3,"INTRO LEAD",84,6,Do,Whole,71
50688,7,,84,5,Si,Whole,71
50688,7,,84,6,Do,Whole,71
50688,9,,84,4,La,Whole,71
50688,9,,84,6,Do,Whole,71
50688,9,,84,6,Mi,Whole,71
50699,2,,118,4,"Do #",Half,80
50699,3,,118,4,"Do #",Half,78
50699,6,,118,7,"Fa #",Half,78
50699,8,,118,6,"Fa #",Half,62
50700,2,BASSLINE,116,5,"La #",Half,79
50700,2,BASSLINE,116,5,"Do #",Half,79
50700,2,BASSLINE,116,6,"Re #",Quarter,79
50700,3,"INTRO LEAD",116,4,"Sol #",Quarter,79
50700,4,"BACKGROUND SYNTH",116,4,"Sol #",Quarter,79
50700,5,,116,7,"Sol #",Quarter,79
50700,7,,116,4,"Sol #",Eighth,79
50700,8,,116,6,"Sol #",Quarter,79
50700,9,,116,6,"Sol #",Quarter,79
50701,7,,118,6,"Fa #",Half,65
50720,7,,116,4,"Sol #",Eighth,79
50730,3,"INTRO LEAD",69,6,Mi,Whole,100
50730,2,BASSLINE,116,5,"Do #",Quarter,79
50730,2,BASSLINE,116,5,"La #",Quarter,79
50730,2,BASSLINE,116,6,"Re #",Quarter,79
50730,3,"INTRO LEAD",116,4,"Sol #",Quarter,79
50730,4,"BACKGROUND SYNTH",116,4,"Sol #",Quarter,79
50730,5,,116,7,"Sol #",Quarter,79
50730,8,,116,6,"Fa #",Quarter,79
50730,9,,116,6,"Fa #",Quarter,79
50740,7,,116,4,"Sol #",Eighth,79
50758,2,,118,4,Re,Sixteenth,80
50758,6,,118,7,Re,Half,81
50760,2,,118,5,"Re #",Half,79
50760,6,,112,3,"Sol #",Quarter,100
50760,2,BASSLINE,116,5,"Do #",Quarter,79
50760,2,BASSLINE,116,5,"La #",Quarter,79
50760,2,BASSLINE,116,6,"Re #",Quarter,79
50760,10,,112,4,La,Whole,100
50760,10,,112,4,La,Whole,100
50760,10,,112,4,Sol,Whole,100
50760,10,,112,6,La,Sixteenth,100
50760,13,,112,4,"Fa #",Sixteenth,100
50760,3,"INTRO LEAD",116,4,"Fa #",Quarter,79
50760,8,,118,6,Re,Half,61
50760,4,"BACKGROUND SYNTH",116,4,"Fa #",Quarter,79
50760,5,,116,7,"Sol #",Quarter,79
50760,7,,116,4,Fa,Eighth,79
50760,8,,116,6,"Sol #",Half,79
50760,9,,116,6,"Sol #",Half,79
50762,3,,118,4,Re,Half,78
50763,7,,118,6,Re,Half,62
50780,7,,116,4,Fa,Eighth,79
50784,3,"INTRO LEAD",84,5,La,Whole,71
50784,7,,84,5,La,Whole,71
50790,3,"INTRO LEAD",69,5,"La #",Whole,100
50790,2,BASSLINE,116,5,"Do #",Quarter,79
50790,2,BASSLINE,116,6,"Re #",Quarter,79
50790,2,BASSLINE,116,5,"La #",Quarter,79
50790,3,"INTRO LEAD",116,4,"Sol #",Quarter,79
50790,4,"BACKGROUND SYNTH",116,4,"Sol #",Quarter,79
50790,5,,116,7,"Sol #",Quarter,79
50800,7,,116,4,Fa,Eighth,79
50818,3,,118,4,Mi,Half,78
50819,6,,118,7,Mi,Half,79
50819,8,,118,6,Mi,Half,65
50820,2,BASSLINE,116,5,"Do #",Quarter,79
50820,2,BASSLINE,116,6,"Re #",Quarter,79
50820,2,BASSLINE,116,5,"La #",Half,79
50820,3,"INTRO LEAD",116,4,"Re #",Half,79
50820,4,"BACKGROUND SYNTH",116,4,"Re #",Half,79
50820,5,,116,7,"Sol #",Quarter,79
50820,7,,116,4,Fa,Eighth,79
50820,8,,116,6,"Fa #",Half,79
50820,9,,116,6,"Fa #",Half,79
50822,2,,118,4,"Do #",Half,80
50823,7,,118,6,Mi,Half,65
50840,7,,116,4,Fa,Eighth,79
50850,3,"INTRO LEAD",69,6,"La #",Whole,100
50850,5,,116,7,"Sol #",Quarter,79
50860,7,,116,4,Fa,Eighth,79
50876,10,,111,3,Si,Whole,100
50876,10,,111,5,"Re #",Whole,58
50878,5,,118,5,"Do #",Sixteenth,81
50878,6,,118,7,"Fa #",Half,78
50878,8,,118,6,"Fa #",Half,63
50879,2,,118,4,"Do #",Sixteenth,78
50879,7,,118,6,"Fa #",Half,64
50880,2,,111,4,La,Whole,100
50880,2,BASSLINE,84,7,Re,Whole,71
50880,4,,111,6,Mi,Whole,63
50880,4,,111,6,Re,Whole,80
50880,4,,111,5,Si,Whole,72
50880,4,,111,5,Sol,Whole,76
50880,4,,111,5,Mi,Whole,65
50880,2,BASSLINE,112,5,"Fa #",Whole,100
50880,2,BASSLINE,112,6,"Re #",Whole,100
50880,2,BASSLINE,112,4,"Fa #",Whole,100
50880,2,BASSLINE,112,5,"La #",Quarter,100
50880,2,,118,5,"Re #",Whole,79
50880,3,"INTRO LEAD",84,4,La,Whole,71
50880,3,"INTRO LEAD",112,4,"Fa #",Whole,100
50880,4,"BACKGROUND SYNTH",112,6,"Fa #",Whole,100
50880,4,"BACKGROUND SYNTH",112,6,"La #",Whole,100
50880,4,"BACKGROUND SYNTH",112,7,"Re #",Whole,100
50880,6,,112,3,"Fa #",Quarter,100
50880,7,,84,4,La,Whole,71
50880,11,,112,4,Do,Sixteenth,100
50880,13,,112,4,"La #",Sixteenth,100
50880,15,,111,6,Mi,Whole,85
50880,3,"INTRO LEAD",116,4,"Do #",Half,79
50880,4,"BACKGROUND SYNTH",116,4,"Do #",Half,79
50880,5,,116,8,"Do #",Quarter,79
50880,7,,116,4,Do,Eighth,79
50880,7,,116,5,Re,Eighth,79
50880,8,,116,6,"Sol #",Whole,79
50880,9,,116,6,"Sol #",Whole,79
50881,3,,118,4,"Fa #",Whole,80
50882,5,,118,4,"Fa #",Sixteenth,77
50883,5,,118,5,"Fa #",Whole,80
50910,3,"INTRO LEAD",69,4,Mi,Whole,100
50910,3,"INTRO LEAD",69,6,"La #",Whole,100
50910,5,,116,8,"Do #",Quarter,79
50940,2,BASSLINE,116,5,"Sol #",Half,79
50940,2,BASSLINE,116,6,"Do #",Half,79
50940,2,BASSLINE,116,6,"Re #",Half,79
50940,2,BASSLINE,116,5,"Do #",Half,79
50940,3,"INTRO LEAD",116,4,"Do #",Half,79
50940,4,"BACKGROUND SYNTH",116,4,"Do #",Half,79
50940,5,,116,8,"Do #",Quarter,79
50940,7,,116,4,Do,Quarter,79
50940,7,,116,5,Re,Eighth,79
50941,8,,118,6,"Fa #",Half,65
50942,7,,118,6,"Fa #",Half,61
50943,6,,118,7,"Fa #",Half,79
50970,3,"INTRO LEAD",69,5,"La #",Whole,100
50970,5,,116,8,"Do #",Quarter,79
50976,2,BASSLINE,84,7,Do,Half,71
50976,3,"INTRO LEAD",84,5,Mi,Whole,71
50976,7,,84,5,Mi,Whole,71
50998,7,,118,6,"Fa #",Whole,62
51000,6,,112,3,"Fa #",Half,100
51000,2,BASSLINE,116,5,"Do #",Half,79
51000,2,BASSLINE,116,5,"Sol #",Half,79
51000,2,BASSLINE,116,6,"Do #",Half,79
51000,2,BASSLINE,116,6,"Re #",Quarter,79
51000,10,,112,6,La,Sixteenth,100
51000,13,,112,4,"Fa #",Sixteenth,100
51000,8,,118,6,"Fa #",Whole,62
51000,5,,116,8,"Do #",Quarter,79
51000,7,,116,4,"Do #",Quarter,79
51000,7,,116,5,Re,Eighth,79
51001,2,,118,5,"Re #",Sixteenth,79
51002,2,,118,4,Re,Half,81
51002,6,,118,7,"Fa #",Whole,81
51024,2,BASSLINE,84,6,Si,Half,71
51030,3,"INTRO LEAD",69,5,Sol,Whole,100
51030,2,BASSLINE,116,5,"Sol #",Quarter,79
51030,2,BASSLINE,116,5,"Do #",Quarter,79
51030,2,BASSLINE,116,6,"Do #",Quarter,79
51030,2,BASSLINE,116,6,"Re #",Quarter,79
51030,5,,116,8,"Do #",Quarter,79
51059,2,,118,4,"Do #",Half,81
51059,3,,118,4,"Do #",Whole,81
51059,5,,118,6,"Do #",Sixteenth,77
51060,5,,116,8,"Do #",Quarter,79
51060,7,,116,5,Re,Eighth,79
51062,5,,118,5,"Do #",Sixteenth,79
51062,5,,118,5,Sol,Whole,80
51068,10,,111,4,Re,Whole,80
51068,10,,111,5,"Re #",Whole,69
51072,2,BASSLINE,84,6,La,Whole,71
51072,3,"INTRO LEAD",84,5,La,Whole,71
51072,7,,84,5,La,Whole,71
51072,15,,111,6,Mi,Whole,97
51090,3,"INTRO LEAD",69,6,"La #",Half,100
51090,2,BASSLINE,116,5,"Do #",Quarter,79
51090,2,BASSLINE,116,5,"Sol #",Quarter,79
51090,2,BASSLINE,116,6,"Do #",Quarter,79
51090,2,BASSLINE,116,6,"Re #",Quarter,79
51090,5,,116,8,"Do #",Quarter,79
51090,7,,116,4,"Do #",Eighth,79
51118,2,,118,5,"Re #",Half,77
51118,6,,118,7,Mi,Whole,81
51120,3,"INTRO LEAD",69,6,Mi,Half,100
51120,6,,112,3,"Fa #",Whole,100
51120,2,BASSLINE,116,5,"Do #",Quarter,79
51120,2,BASSLINE,116,5,"Sol #",Quarter,79
51120,2,BASSLINE,116,6,"Do #",Quarter,79
51120,2,BASSLINE,116,6,"Re #",Half,79
51120,11,,112,4,Do,Sixteenth,100
51120,12,,112,4,Re,Sixteenth,100
51120,7,,118,6,Mi,Whole,64
51120,13,,112,4,"Fa #",Sixteenth,100
51120,3,"INTRO LEAD",116,3,"La #",Half,79
51120,9,,118,7,Mi,Whole,79
51120,4,"BACKGROUND SYNTH",116,3,"La #",Half,79
51120,5,,116,8,"Do #",Quarter,79
51120,7,,116,4,Do,Eighth,79
51120,7,,116,5,Re,Eighth,79
51123,8,,118,6,Mi,Whole,63
51150,3,"INTRO LEAD",69,5,"La #",Whole,100
51150,5,,116,8,"Do #",Quarter,79
51168,3,"INTRO LEAD",84,6,Do,Whole,71
51168,7,,84,6,Do,Whole,71
51180,3,,118,3,La,Half,77
51180,2,BASSLINE,116,5,"Do #",Half,79
51180,2,BASSLINE,116,5,"Sol #",Half,79
51180,2,BASSLINE,116,5,"La #",Half,79
51180,2,BASSLINE,116,6,"Re #",Quarter,79
51180,3,"INTRO LEAD",116,3,"La #",Half,79
51180,4,"BACKGROUND SYNTH",116,3,"La #",Half,79
51180,5,,116,8,"Do #",Quarter,79
51180,7,,116,4,Do,Quarter,79
51180,7,,116,5,Re,Eighth,79
51181,2,,118,4,"Do #",Half,77
51210,3,"INTRO LEAD",69,5,Sol,Whole,100
51210,2,BASSLINE,116,5,"Do #",Quarter,79
51210,2,BASSLINE,116,5,"Sol #",Quarter,79
51210,2,BASSLINE,116,5,"La #",Quarter,79
51210,2,BASSLINE,116,6,"Re #",Quarter,79
51210,5,,116,8,"Do #",Quarter,79
51239,2,,118,5,"Re #",Sixteenth,77
51240,2,BASSLINE,112,4,"Fa #",Whole,100
51240,2,BASSLINE,112,5,"Fa #",Whole,100
51240,2,BASSLINE,112,6,"Do #",Whole,100
51240,2,BASSLINE,112,5,"La #",Whole,100
51240,2,,118,4,Re,Half,79
51240,3,"INTRO LEAD",112,4,"Fa #",Whole,100
51240,4,"BACKGROUND SYNTH",112,6,"Fa #",Eighth,100
51240,4,"BACKGROUND SYNTH",112,7,"Do #",Eighth,100
51240,4,"BACKGROUND SYNTH",112,6,"La #",Sixteenth,100
51240,6,,112,3,"Fa #",Quarter,100
51240,2,BASSLINE,116,5,"Do #",Quarter,79
51240,2,BASSLINE,116,5,"Sol #",Quarter,79
51240,2,BASSLINE,116,5,"La #",Quarter,79
51240,2,BASSLINE,116,6,"Re #",Quarter,79
51240,10,,112,6,La,Sixteenth,100
51240,13,,112,4,"Fa #",Sixteenth,100
51240,8,,118,6,Sol,Whole,94
51240,5,,116,8,"Do #",Quarter,79
51240,7,,116,5,Re,Eighth,79
51241,6,,118,7,Mi,Whole,80
51242,3,,118,3,"La #",Half,80
51243,7,,118,7,"Do #",Whole,95
51260,10,,111,3,Si,Whole,100
51260,10,,111,5,"Re #",Whole,58
51264,2,,111,4,Si,Whole,100
51264,2,BASSLINE,84,7,Do,Whole,71
51264,4,,111,6,Mi,Whole,63
51264,4,,111,5,Si,Whole,79
51264,4,,111,5,Sol,Whole,76
51264,4,,111,5,Mi,Whole,65
51264,3,"INTRO LEAD",84,4,La,Whole,71
51264,7,,84,4,La,Whole,71
51270,3,"INTRO LEAD",69,4,Mi,Whole,100
51270,2,BASSLINE,116,5,"La #",Quarter,79
51270,2,BASSLINE,116,5,"Sol #",Quarter,79
51270,2,BASSLINE,116,5,"Do #",Quarter,79
51270,2,BASSLINE,116,6,"Re #",Quarter,79
51270,3,"INTRO LEAD",116,3,"La #",Quarter,79
51270,4,"BACKGROUND SYNTH",116,3,"La #",Quarter,79
51270,5,,116,8,"Do #",Quarter,79
51270,7,,116,4,Do,Eighth,79
51300,3,,118,4,"Do #",Half,77
51300,2,BASSLINE,116,5,"Do #",Quarter,79
51300,2,BASSLINE,116,5,"Sol #",Quarter,79
51300,2,BASSLINE,116,5,"La #",Quarter,79
51300,2,BASSLINE,116,6,"Re #",Half,79
51300,3,"INTRO LEAD",116,3,"La #",Half,79
51300,4,"BACKGROUND SYNTH",116,3,"La #",Half,79
51300,5,,116,8,"Do #",Quarter,79
51300,7,,116,4,"Do #",Eighth,79
51300,7,,116,5,Re,Eighth,79
51302,2,,118,4,"Do #",Half,78
51330,3,"INTRO LEAD",69,5,Sol,Whole,100
51330,5,,116,8,"Do #",Quarter,79
51357,5,,118,5,La,Sixteenth,81
51358,5,,118,5,Re,Sixteenth,79
51359,2,,118,4,"Do #",Sixteenth,81
51359,5,,118,6,Re,Whole,80
51360,2,BASSLINE,84,7,Re,Whole,71
51360,3,"INTRO LEAD",84,4,Si,Whole,71
51360,6,,112,3,"Fa #",Half,100
51360,7,,84,4,Si,Whole,71
51360,2,BASSLINE,116,5,"Do #",Half,79
51360,2,BASSLINE,116,5,"Re #",Half,79
